Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,NumMissVals,LogSalePrice,NeighborhoodCountQuartiles,NeighborhoodQuality
1,60,RL,65.0,8450,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Average,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,Good/Excellent,TA,PConc,Good,TA,No,GLQ,706.0,Unf,0.0,150,856,GasA,Ex,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,Good/Excellent,8,Typ,0,Attchd,2003.0,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,0,2,2008,WD,Normal,208500,5,12.247694320220994,Q4,Q3
2,20,RL,80.0,9600,Pave,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,Average,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,Bad/Typical,TA,CBlock,Good,TA,Gd,ALQ,978.0,Unf,0.0,284,1262,GasA,Ex,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,Bad/Typical,6,Typ,1,Attchd,1976.0,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,0,5,2007,WD,Normal,181500,4,12.109010932687042,Q1,Q4
3,60,RL,68.0,11250,Pave,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,Average,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Good/Excellent,TA,PConc,Good,TA,Mn,GLQ,486.0,Unf,0.0,434,920,GasA,Ex,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,Good/Excellent,6,Typ,1,Attchd,2001.0,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,0,9,2008,WD,Normal,223500,4,12.31716669303576,Q4,Q3
4,70,RL,60.0,9550,Pave,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,Average,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,Bad/Typical,TA,BrkTil,Neutral,Gd,No,ALQ,216.0,Unf,0.0,540,756,GasA,Gd,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,Good/Excellent,7,Typ,1,Detchd,1998.0,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,0,2,2006,WD,Abnorml,140000,4,11.84939770159144,Q2,Q3
5,60,RL,84.0,14260,Pave,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,Superb,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,Good/Excellent,TA,PConc,Good,TA,Av,GLQ,655.0,Unf,0.0,490,1145,GasA,Ex,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,Good/Excellent,9,Typ,1,Attchd,2000.0,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,0,12,2008,WD,Normal,250000,4,12.429216196844383,Q1,Q4
6,50,RL,85.0,14115,Pave,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,Average,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,Bad/Typical,TA,Wood,Good,TA,No,GLQ,732.0,Unf,0.0,64,796,GasA,Ex,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,Bad/Typical,5,Typ,0,Attchd,1993.0,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,700,10,2009,WD,Normal,143000,3,11.870599909242044,Q1,Q2
7,20,RL,75.0,10084,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,Superb,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,Good/Excellent,TA,PConc,Good,TA,Av,GLQ,1369.0,Unf,0.0,317,1686,GasA,Ex,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,Good/Excellent,7,Typ,1,Attchd,2004.0,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,0,8,2007,WD,Normal,307000,4,12.634603026569334,Q3,Q4
8,60,RL,,10382,Pave,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,Average,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,Bad/Typical,TA,CBlock,Good,TA,Mn,ALQ,859.0,BLQ,32.0,216,1107,GasA,Ex,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,Bad/Typical,7,Typ,2,Attchd,1973.0,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,350,11,2009,WD,Normal,200000,4,12.206072645530174,Q2,Q3
9,50,Other,51.0,6120,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,Average,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,Bad/Typical,TA,BrkTil,Neutral,TA,No,Unf,0.0,Unf,0.0,952,952,GasA,Gd,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,Bad/Typical,8,Min1,2,Detchd,1931.0,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,0,4,2008,WD,Abnorml,129900,4,11.77452020265869,Q3,Q1
10,190,RL,50.0,7420,Pave,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,Average,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,Bad/Typical,TA,BrkTil,Neutral,TA,No,GLQ,851.0,Unf,0.0,140,991,GasA,Ex,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,Bad/Typical,5,Typ,2,Attchd,1939.0,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,0,1,2008,WD,Normal,118000,4,11.678439903447801,Q2,Q1
